row	depth	verdict	method	seconds	max_entry	witness_L0	witness_L1	exact_lp	exact_infeasible	deletions_covered	fp_levels_tried
5643179	19	REALIZABLE	walk	25.94	262144	yes	yes				
5655604	18	REALIZABLE	store	0.82	256	yes	yes				
5656956	25	REALIZABLE	walk	3.69	1024	yes	yes				
5664182	20	REALIZABLE	walk	4.29	512	yes	yes				
5671004	20	REALIZABLE	walk	21.64	1024	yes	yes				
5698728	19	REALIZABLE	fresh	2.13	1024	yes	yes				
5723047	16	REALIZABLE	store_walk	1.93	16384	yes	yes				
5749535	16	REALIZABLE	walk	3.41	262144	yes	yes				
5754575	18	REALIZABLE	walk	31.35	4096	yes	yes				
5806888	18	REALIZABLE	fresh	2.05	1024	yes	yes				
5825745	19	REALIZABLE	store_walk	1.18	1024	yes	yes				
5833118	18	REALIZABLE	walk	1.42	16384	yes	yes				
5843499	17	REALIZABLE	walk	1.54	1024	yes	yes				
5862420	22	REALIZABLE	walk	18.59	1024	yes	yes				
5866617	20	REALIZABLE	walk	20.66	1024	yes	yes				
5882647	17	REALIZABLE	walk	48.29	1024	yes	yes				
5904286	19	REALIZABLE	walk	7.58	16384	yes	yes				
5928991	18	REALIZABLE	walk	4.24	512	yes	yes				
5959805	19	REALIZABLE	walk	23.35	1024	yes	yes				
5964604	19	REALIZABLE	walk	7.42	1024	yes	yes				
5988663	17	REALIZABLE	store_walk	1.08	1024	yes	yes				
6017490	17	REALIZABLE	store_walk	1.26	16384	yes	yes				
6030645	17	REALIZABLE	walk	2.36	1024	yes	yes				
6039871	18	REALIZABLE	walk	4.98	16384	yes	yes				
6046137	19	REALIZABLE	store_walk	1.48	1024	yes	yes				
6058672	21	REALIZABLE	walk	7.16	1024	yes	yes				
6059982	20	REALIZABLE	walk	8.16	1024	yes	yes				
6061266	20	REALIZABLE	walk	23.14	16384	yes	yes				
6063809	21	REALIZABLE	walk	48.84	16384	yes	yes				
6069948	19	REALIZABLE	store_walk	1.11	64	yes	yes				
6080132	16	REALIZABLE	walk	9.32	64	yes	yes				
